id,texto
1,"Brasil, oficialmente República Federativa do Brasil, é o maior país da América do Sul e da região da América Latina, sendo o quinto maior do mundo em área territorial e o sétimo em população. É o único país na América onde se fala majoritariamente a língua portuguesa e o maior país lusófono do planeta."
2,"Portugal, oficialmente República Portuguesa, é um país soberano unitário localizado no sudoeste da Europa, cujo território se situa na zona ocidental da Península Ibérica e em arquipélagos no Atlântico Norte."
3,"O futebol é um esporte de equipe jogado entre duas equipes de 11 jogadores cada uma e um árbitro que se ocupa da correta aplicação das normas. É considerado o desporto mais popular do mundo, pois cerca de 270 milhões de pessoas participam das suas várias competições."
4,"O basquetebol ou bola ao cesto é um jogo desportivo coletivo inventado em 1891 pelo professor de Educação Física canadense James Naismith. É um dos esportes mais populares do mundo, sendo esporte olímpico desde os Jogos Olímpicos de Verão de 1936 em Berlim."
5,"O voleibol, ou vôlei, é um esporte praticado numa quadra dividida em duas partes por uma rede, possuindo duas equipes de seis jogadores em cada lado. O objetivo da modalidade é fazer passar a bola sobre a rede de modo a que a mesma toque no chão dentro da quadra adversária."
6,"A Segunda Guerra Mundial foi um conflito militar global que durou de 1939 a 1945, envolvendo a maioria das nações do mundo — incluindo todas as grandes potências — organizadas em duas alianças militares opostas: os Aliados e o Eixo."
7,"A Primeira Guerra Mundial foi um conflito bélico global centrado na Europa, que começou em 28 de julho de 1914 e durou até 11 de novembro de 1918. O conflito envolveu as Grandes Potências de todo o mundo, que se organizaram em duas alianças opostas: os Aliados e os Impérios Centrais."
8,"A Revolução Francesa foi um período de intensa agitação política e social na França, que teve um impacto duradouro na história do país e, mais amplamente, em todo o continente europeu. A monarquia absolutista que tinha governado a nação durante séculos entrou em colapso em apenas três anos."
9,"O Iluminismo, também conhecido como Século das Luzes, foi um movimento intelectual e filosófico que dominou o mundo das ideias na Europa durante o século XVIII. O Iluminismo defendia a razão como a principal fonte de autoridade e legitimidade."
10,"O Renascimento ou Renascença foi um importante movimento de ordem artística, cultural e científica que se deflagrou na passagem da Idade Média para a Moderna. Ocorreu na Itália e se estendeu pela Europa, marcando o início da Idade Moderna."
11,"Albert Einstein foi um físico teórico alemão que desenvolveu a teoria da relatividade geral, um dos pilares da física moderna ao lado da mecânica quântica. É mais conhecido pela fórmula de equivalência massa-energia, E=mc², que foi chamada de 'a equação mais famosa do mundo'."
12,"Isaac Newton foi um matemático, físico, astrônomo, teólogo e autor inglês que é amplamente reconhecido como um dos cientistas mais influentes de todos os tempos e como uma figura-chave na Revolução Científica. Sua obra 'Philosophiæ Naturalis Principia Mathematica' formulou as leis do movimento e da gravitação universal."
13,"Marie Curie foi uma física e química polonesa, naturalizada francesa, que conduziu pesquisas pioneiras sobre a radioatividade. Foi a primeira mulher a ganhar um Prêmio Nobel, a primeira pessoa e única mulher a ganhá-lo duas vezes, e a única pessoa a ser laureada em dois campos científicos diferentes."
14,"Alberto Santos Dumont foi um aeronauta, esportista, inventor e engenheiro brasileiro. Dumont projetou, construiu e voou os primeiros balões dirigíveis com motor a gasolina. Esse mérito lhe é garantido internacionalmente pela conquista do Prêmio Deutsch em 1901, quando em um voo contornou a Torre Eiffel com seu dirigível nº 6."
15,"Leonardo da Vinci foi um polímata italiano do Renascimento, atuando como pintor, desenhista, engenheiro, cientista, teórico, escultor e arquiteto. Embora sua fama inicial se devesse às suas realizações como pintor, ele também se tornou conhecido por seus cadernos, nos quais fazia desenhos e anotações sobre uma variedade de assuntos."
16,"A fotossíntese é um processo físico-químico, a nível celular, realizado pelos seres vivos clorofilados, que utilizam dióxido de carbono e água, para obter glicose através da energia da luz solar. É um processo vital para a manutenção da vida na Terra."
17,"A célula é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva, sendo frequentemente chamada de 'bloco de construção da vida'. O estudo das células é denominado biologia celular ou citologia."
18,"O ácido desoxirribonucleico (ADN, ou DNA em inglês) é um composto orgânico cujas moléculas contêm as instruções genéticas que coordenam o desenvolvimento e funcionamento de todos os os seres vivos e alguns vírus. O ADN é um longo polímero formado por unidades repetidas chamadas nucleotídeos."
19,"A evolução, no campo da biologia, é a mudança das características hereditárias de uma população de seres vivos de uma geração para outra. Este processo faz com que as populações de organismos mudem e se diversifiquem ao longo do tempo."
20,"A genética é o ramo da biologia que estuda a hereditariedade, a variação dos organismos e a forma como as características são transmitidas de geração para geração. O termo 'genética' foi aplicado pela primeira vez para descrever o estudo da variação e hereditariedade por William Bateson em 1905."
21,"O Rio Amazonas, localizado na América do Sul, é o maior rio em vazão de água da Terra e o segundo mais extenso do mundo, após o Rio Nilo. Com 6.992 quilômetros, percorre o norte da América do Sul, a floresta amazônica e deságua no Oceano Atlântico."
22,"O rio Nilo é um grande rio do nordeste africano, sendo um dos dois rios mais longos do mundo. A bacia de drenagem do Nilo abrange onze países e é a principal fonte de água do Egito e do Sudão."
23,"O Monte Everest é a montanha de maior altitude da Terra. Seu pico está a 8.848,86 metros acima do nível do mar, na cordilheira do Himalaia. A fronteira internacional entre a China e o Nepal passa pelo ponto do cume."
24,"O deserto do Saara é o maior deserto quente do mundo, e o terceiro maior deserto em geral, depois da Antártida e do Ártico. Sua área de 9,2 milhões de km² é comparável à área da China ou dos Estados Unidos. Localiza-se no norte da África."
25,"A Amazônia, ou Floresta Amazônica, é uma floresta latifoliada úmida que cobre a maior parte da Bacia Amazônica da América do Sul. Esta bacia abrange sete milhões de quilômetros quadrados, dos quais cinco milhões e meio são cobertos pela floresta tropical."
26,"A inteligência artificial (IA) é um campo da ciência da computação que se dedica ao estudo e ao desenvolvimento de máquinas e programas computacionais que sejam capazes de simular o pensamento humano, ou seja, de pensar, raciocinar, aprender e tomar decisões."
27,"Um computador é um dispositivo eletrônico que manipula informações ou dados. Ele tem a capacidade de armazenar, recuperar e processar dados. Você pode usar um computador para digitar documentos, enviar e-mails, jogar e navegar na Internet."
28,"A Internet é um sistema global de redes de computadores interligadas que utiliza o conjunto de protocolos padrão da Internet (TCP/IP) para comunicar entre redes e dispositivos. É uma rede de redes que consiste em redes privadas, públicas, acadêmicas, comerciais e governamentais de alcance local a global."
29,"Um smartphone é um telefone celular com funcionalidades avançadas, que podem ser estendidas por meio de programas, os aplicativos, executados em seu sistema operacional. Possui características de um computador pessoal, como acesso à internet, e-mail, organizador, e GPS."
30,"A robótica é um ramo da tecnologia que engloba mecânica, eletrônica e computação, que trata do projeto, construção, operação e aplicação de robôs, bem como sistemas de computador para seu controle, feedback sensorial e processamento de informações."
31,"Mona Lisa, também conhecida como A Gioconda, é a mais notável e conhecida obra de Leonardo da Vinci, um dos mais eminentes homens do Renascimento italiano. Sua pintura foi iniciada em 1503 e é atualmente a maior atração do Museu do Louvre, em Paris."
32,"A Última Ceia é uma pintura mural de Leonardo da Vinci para a igreja de Santa Maria delle Grazie em Milão, Itália. A obra representa a cena da Última Ceia de Jesus com os seus apóstolos, tal como é contada no Evangelho de João."
33,"O Grito é uma série de quatro pinturas do norueguês Edvard Munch, criadas entre 1893 e 1910. A obra representa uma figura andrógina, num momento de profunda angústia e desespero existencial, e é considerada uma das obras mais importantes do movimento expressionista."
34,"Guernica é um painel do pintor espanhol Pablo Picasso, pintado em 1937. A obra, que utiliza a técnica de óleo sobre tela, é uma das mais conhecidas do artista e retrata o bombardeio da cidade de Guernica durante a Guerra Civil Espanhola."
35,"Abaporu é uma pintura a óleo da artista brasileira Tarsila do Amaral. É uma das principais obras do período antropofágico do movimento modernista no Brasil. Foi pintada em 1928 como presente de aniversário para o escritor Oswald de Andrade, seu marido na época."
36,"Democracia é um regime político em que o poder é exercido pelo povo, através de seus representantes eleitos. As características da democracia incluem liberdade de reunião, associação, religião e expressão, além de cidadania e direitos de voto."
37,"Capitalismo é um sistema econômico baseado na propriedade privada dos meios de produção e sua operação com fins lucrativos. As características centrais deste sistema incluem, além da propriedade privada, a acumulação de capital, o trabalho assalariado, a troca voluntária, um sistema de preços e mercados competitivos."
38,"Socialismo refere-se a qualquer uma das várias teorias de organização econômica que advogam a administração e propriedade pública ou coletiva dos meios de produção e distribuição de bens, propondo-se a construir uma sociedade caracterizada pela igualdade de oportunidades e meios para todos os indivíduos."
39,"Comunismo é uma ideologia política e socioeconômica que pretende estabelecer uma sociedade igualitária, através da abolição da propriedade privada dos meios de produção, das classes sociais e do próprio Estado."
40,"O anarquismo é uma filosofia política e movimento que é cético em relação à autoridade e rejeita todas as formas involuntárias e coercitivas de hierarquia. O anarquismo defende a abolição do Estado, que considera indesejável, desnecessário e prejudicial."
41,"O Japão é um país insular do Leste Asiático. Localizado no Oceano Pacífico, fica a leste do Mar do Japão, da China, da Coreia do Norte, da Coreia do Sul e da Rússia. Os caracteres que compõem o nome do Japão significam 'origem do sol', razão pela qual o país é, por vezes, identificado como a 'Terra do Sol Nascente'."
42,"A China, oficialmente República Popular da China, é um Estado soberano localizado no Leste Asiático. É o país mais populoso do mundo, com mais de 1,4 bilhão de habitantes. O país é governado pelo Partido Comunista da China e exerce jurisdição sobre 22 províncias."
43,"A Índia, oficialmente República da Índia, é um país da Ásia Meridional. É o sétimo maior país em área, o segundo país mais populoso e a democracia mais populosa do mundo. Banhada pelo Oceano Índico ao sul, pelo Mar da Arábia a sudoeste e pela Baía de Bengala a sudeste."
44,"A Rússia, oficialmente Federação Russa, é um país localizado no norte da Eurásia. Com 17.075.400 quilômetros quadrados, a Rússia é o país com maior área do planeta, cobrindo mais de um nono da área terrestre. É também o nono país mais populoso, com 142 milhões de habitantes."
45,"Os Estados Unidos da América, ou simplesmente Estados Unidos, são uma república constitucional federal composta por 50 estados e um distrito federal. A maior parte do país situa-se na região central da América do Norte. Com 9,8 milhões de km² e mais de 331 milhões de habitantes, é o terceiro maior país em área e população."
